Unnamed: 0,sms,spam,Unnamed: 3,sms_processed,tokens
497,Black shirt n blue jeans... I thk i c Ã¼...,False,,black shirt n blue jeans i thk i c ã¼,"['black', 'shirt', 'n', 'blue', 'jeans', 'thk', 'c', 'ã¼']"
498,5 nights...We nt staying at port step liao...Too ex,False,,5 nightswe nt staying at port step liaotoo ex,"['5', 'nightswe', 'nt', 'staying', 'port', 'step', 'liaotoo', 'ex']"
499,Well thats nice. Too bad i cant eat it,False,,well thats nice too bad i cant eat it,"['well', 'thats', 'nice', 'bad', 'cant', 'eat']"
500,And miss vday the parachute and double coins??? U must not know me very well...,False,,and miss vday the parachute and double coins u must not know me very well,"['miss', 'vday', 'parachute', 'double', 'coins', 'u', 'must', 'know', 'well']"
501,No screaming means shouting..,False,,no screaming means shouting,"['screaming', 'means', 'shouting']"
502,Hey... Why dont we just go watch x men and have lunch... Haha,False,,hey why dont we just go watch x men and have lunch haha,"['hey', 'dont', 'go', 'watch', 'x', 'men', 'lunch', 'haha']"
503,Should I head straight there or what,False,,should i head straight there or what,"['head', 'straight']"
504,Dude got a haircut. Now its breezy up there,False,,dude got a haircut now its breezy up there,"['dude', 'got', 'haircut', 'breezy']"
505,"I'm eatin now lor, but goin back to work soon... E mountain deer show huh... I watch b4 liao, very nice...",False,,im eatin now lor but goin back to work soon e mountain deer show huh i watch b4 liao very nice,"['im', 'eatin', 'lor', 'goin', 'back', 'work', 'soon', 'e', 'mountain', 'deer', 'show', 'huh', 'watch', 'b4', 'liao', 'nice']"
506,I hope your burns tonite.,False,,i hope your burns tonite,"['hope', 'burns', 'tonite']"
507,Oh...i asked for fun. Haha...take care. Ã¼,False,,ohi asked for fun hahatake care ã¼,"['ohi', 'asked', 'fun', 'hahatake', 'care', 'ã¼']"
508,"Tick, tick, tick ... Babe",False,,tick tick tick  babe,"['tick', 'tick', 'tick', 'babe']"
509,I wont get concentration dear you know you are my mind and everything :-),False,,i wont get concentration dear you know you are my mind and everything ,"['wont', 'get', 'concentration', 'dear', 'know', 'mind', 'everything']"
510,"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES",True,,will u meet ur dream partner soon is ur career off 2 a flyng start 2 find out free txt horo followed by ur star sign e g horo aries,"['u', 'meet', 'ur', 'dream', 'partner', 'soon', 'ur', 'career', '2', 'flyng', 'start', '2', 'find', 'free', 'txt', 'horo', 'followed', 'ur', 'star', 'sign', 'e', 'g', 'horo', 'aries']"
511,Eh den sat u book e kb liao huh...,False,,eh den sat u book e kb liao huh,"['eh', 'den', 'sat', 'u', 'book', 'e', 'kb', 'liao', 'huh']"
512,In which place do you want da.,False,,in which place do you want da,"['place', 'want', 'da']"
513,Haha... Hope Ã¼ can hear the receipt sound... Gd luck!,False,,haha hope ã¼ can hear the receipt sound gd luck,"['haha', 'hope', 'ã¼', 'hear', 'receipt', 'sound', 'gd', 'luck']"
514,Hey... Very inconvenient for your sis a not huh?,False,,hey very inconvenient for your sis a not huh,"['hey', 'inconvenient', 'sis', 'huh']"
515,But pls dont play in others life.,False,,but pls dont play in others life,"['pls', 'dont', 'play', 'others', 'life']"
516,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/msg. CC 08718720201 HG/Suite342/2Lands Row/W1J6HL,True,,ur cashbalance is currently 500 pounds  to maximize ur cashin now send go to 86688 only 150pmsg cc 08718720201 hgsuite3422lands roww1j6hl,"['ur', 'cashbalance', 'currently', '500', 'pounds', 'maximize', 'ur', 'cashin', 'send', 'go', '86688', '150pmsg', 'cc', '08718720201', 'hgsuite3422lands', 'roww1j6hl']"
517,Still in the area of the restaurant. Ill try to come back soon,False,,still in the area of the restaurant ill try to come back soon,"['still', 'area', 'restaurant', 'ill', 'try', 'come', 'back', 'soon']"
518,Sorry that was my uncle. I.ll keep in touch,False,,sorry that was my uncle ill keep in touch,"['sorry', 'uncle', 'ill', 'keep', 'touch']"
519,Eek that's a lot of time especially since American Pie is like 8 minutes long. I can't stop singing it.,False,,eek thats a lot of time especially since american pie is like 8 minutes long i cant stop singing it,"['eek', 'thats', 'lot', 'time', 'especially', 'since', 'american', 'pie', 'like', '8', 'minutes', 'long', 'cant', 'stop', 'singing']"
520,"That's cool, I'll come by like  &lt;#&gt; ish",False,,thats cool ill come by like  ltgt ish,"['thats', 'cool', 'ill', 'come', 'like', 'ltgt', 'ish']"
521,Darren was saying dat if u meeting da ge den we dun meet 4 dinner. Cos later u leave xy will feel awkward. Den u meet him 4 lunch lor.,False,,darren was saying dat if u meeting da ge den we dun meet 4 dinner cos later u leave xy will feel awkward den u meet him 4 lunch lor,"['darren', 'saying', 'dat', 'u', 'meeting', 'da', 'ge', 'den', 'dun', 'meet', '4', 'dinner', 'cos', 'later', 'u', 'leave', 'xy', 'feel', 'awkward', 'den', 'u', 'meet', '4', 'lunch', 'lor']"
522,In other news after hassling me to get him weed for a week andres has no money. HAUGHAIGHGTUJHYGUJ,False,,in other news after hassling me to get him weed for a week andres has no money haughaighgtujhyguj,"['news', 'hassling', 'get', 'weed', 'week', 'andres', 'money', 'haughaighgtujhyguj']"
523,No de. But call me after some time. Ill tell you k,False,,no de but call me after some time ill tell you k,"['de', 'call', 'time', 'ill', 'tell', 'k']"
524,Shopping lor. Them raining mah hard 2 leave orchard.,False,,shopping lor them raining mah hard 2 leave orchard,"['shopping', 'lor', 'raining', 'mah', 'hard', '2', 'leave', 'orchard']"
525,"1.20 that call cost. Which i guess isnt bad. Miss ya, need ya, want ya, love ya",False,,120 that call cost which i guess isnt bad miss ya need ya want ya love ya,"['120', 'call', 'cost', 'guess', 'isnt', 'bad', 'miss', 'ya', 'need', 'ya', 'want', 'ya', 'love', 'ya']"
526,I'm in office now da:)where are you?,False,,im in office now dawhere are you,"['im', 'office', 'dawhere']"
527,How u doin baby girl ?? hope u are okay every time I call ure phone is off! I miss u get in touch,False,,how u doin baby girl  hope u are okay every time i call ure phone is off i miss u get in touch,"['u', 'doin', 'baby', 'girl', 'hope', 'u', 'okay', 'every', 'time', 'call', 'ure', 'phone', 'miss', 'u', 'get', 'touch']"
528,When you guys planning on coming over?,False,,when you guys planning on coming over,"['guys', 'planning', 'coming']"
529,You are a winner U have been specially selected 2 receive Â£1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,True,,you are a winner u have been specially selected 2 receive â1000 cash or a 4 holiday flights inc speak to a live operator 2 claim 0871277810810,"['winner', 'u', 'specially', 'selected', '2', 'receive', 'â1000', 'cash', '4', 'holiday', 'flights', 'inc', 'speak', 'live', 'operator', '2', 'claim', '0871277810810']"
530,You are a winner U have been specially selected 2 receive Â£1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,True,,you are a winner u have been specially selected 2 receive â1000 cash or a 4 holiday flights inc speak to a live operator 2 claim 0871277810810,"['winner', 'u', 'specially', 'selected', '2', 'receive', 'â1000', 'cash', '4', 'holiday', 'flights', 'inc', 'speak', 'live', 'operator', '2', 'claim', '0871277810810']"
531,Well if I'm that desperate I'll just call armand again,False,,well if im that desperate ill just call armand again,"['well', 'im', 'desperate', 'ill', 'call', 'armand']"
532,I don't know but I'm dudes at poker,False,,i dont know but im dudes at poker,"['dont', 'know', 'im', 'dudes', 'poker']"
533,Then u go back urself lor...,False,,then u go back urself lor,"['u', 'go', 'back', 'urself', 'lor']"
534,Hey hun-onbus goin 2 meet him. He wants 2go out 4a meal but I donyt feel like it cuz have 2 get last bus home!But hes sweet latelyxxx,False,,hey hunonbus goin 2 meet him he wants 2go out 4a meal but i donyt feel like it cuz have 2 get last bus homebut hes sweet latelyxxx,"['hey', 'hunonbus', 'goin', '2', 'meet', 'wants', '2go', '4a', 'meal', 'donyt', 'feel', 'like', 'cuz', '2', 'get', 'last', 'bus', 'homebut', 'hes', 'sweet', 'latelyxxx']"
535,Ok i wont call or disturb any one. I know all are avoiding me. I am a burden for all,False,,ok i wont call or disturb any one i know all are avoiding me i am a burden for all,"['ok', 'wont', 'call', 'disturb', 'one', 'know', 'avoiding', 'burden']"
536,"Its ok, called mom instead have fun",False,,its ok called mom instead have fun,"['ok', 'called', 'mom', 'instead', 'fun']"
537,I'm watching lotr w my sis dis aft. So u wan 2 meet me 4 dinner at nite a not?,False,,im watching lotr w my sis dis aft so u wan 2 meet me 4 dinner at nite a not,"['im', 'watching', 'lotr', 'w', 'sis', 'dis', 'aft', 'u', 'wan', '2', 'meet', '4', 'dinner', 'nite']"
538,"I dont knw pa, i just drink milk..",False,,i dont knw pa i just drink milk,"['dont', 'knw', 'pa', 'drink', 'milk']"
539,Ok... Take ur time n enjoy ur dinner...,False,,ok take ur time n enjoy ur dinner,"['ok', 'take', 'ur', 'time', 'n', 'enjoy', 'ur', 'dinner']"
540,We not leaving yet. Ok lor then we go elsewhere n eat. U thk...,False,,we not leaving yet ok lor then we go elsewhere n eat u thk,"['leaving', 'yet', 'ok', 'lor', 'go', 'elsewhere', 'n', 'eat', 'u', 'thk']"
541,"Haha just kidding, papa needs",False,,haha just kidding papa needs,"['haha', 'kidding', 'papa', 'needs']"
542,My stomach has been thru so much trauma I swear I just can't eat. I better lose weight.,False,,my stomach has been thru so much trauma i swear i just cant eat i better lose weight,"['stomach', 'thru', 'much', 'trauma', 'swear', 'cant', 'eat', 'better', 'lose', 'weight']"
543,"Looks like you found something to do other than smoke, great job!",False,,looks like you found something to do other than smoke great job,"['looks', 'like', 'found', 'something', 'smoke', 'great', 'job']"
544,Yo! Howz u? girls never rang after india. L,False,,yo howz u girls never rang after india l,"['yo', 'howz', 'u', 'girls', 'never', 'rang', 'india', 'l']"
545,You give us back my id proof and  &lt;#&gt;  rs. We wont allow you to work. We will come to your home within days,False,,you give us back my id proof and  ltgt  rs we wont allow you to work we will come to your home within days,"['give', 'us', 'back', 'id', 'proof', 'ltgt', 'rs', 'wont', 'allow', 'work', 'come', 'home', 'within', 'days']"
546,Also where's the piece,False,,also wheres the piece,"['also', 'wheres', 'piece']"
547,Then u going ikea str aft dat?,False,,then u going ikea str aft dat,"['u', 'going', 'ikea', 'str', 'aft', 'dat']"
548,I come n pick Ã¼ up... Come out immediately aft ur lesson...,False,,i come n pick ã¼ up come out immediately aft ur lesson,"['come', 'n', 'pick', 'ã¼', 'come', 'immediately', 'aft', 'ur', 'lesson']"
549,"Dont give a monkeys wot they think and i certainly don't mind. Any friend of mine&all that! Just don't sleep wiv , that wud be annoyin!",False,,dont give a monkeys wot they think and i certainly dont mind any friend of mineall that just dont sleep wiv  that wud be annoyin,"['dont', 'give', 'monkeys', 'wot', 'think', 'certainly', 'dont', 'mind', 'friend', 'mineall', 'dont', 'sleep', 'wiv', 'wud', 'annoyin']"
550,Will be office around 4 pm. Now i am going hospital.,False,,will be office around 4 pm now i am going hospital,"['office', 'around', '4', 'pm', 'going', 'hospital']"
551,Do you like shaking your on the dance floor?,False,,do you like shaking your on the dance floor,"['like', 'shaking', 'dance', 'floor']"
552,UR GOING 2 BAHAMAS! CallFREEFONE 08081560665 and speak to a live operator to claim either Bahamas cruise ofÂ£2000 CASH 18+only. To opt out txt X to 07786200117,True,,ur going 2 bahamas callfreefone 08081560665 and speak to a live operator to claim either bahamas cruise ofâ2000 cash 18only to opt out txt x to 07786200117,"['ur', 'going', '2', 'bahamas', 'callfreefone', '08081560665', 'speak', 'live', 'operator', 'claim', 'either', 'bahamas', 'cruise', 'ofâ2000', 'cash', '18only', 'opt', 'txt', 'x', '07786200117']"
553,UR GOING 2 BAHAMAS! CallFREEFONE 08081560665 and speak to a live operator to claim either Bahamas cruise ofÂ£2000 CASH 18+only. To opt out txt X to 07786200117,True,,ur going 2 bahamas callfreefone 08081560665 and speak to a live operator to claim either bahamas cruise ofâ2000 cash 18only to opt out txt x to 07786200117,"['ur', 'going', '2', 'bahamas', 'callfreefone', '08081560665', 'speak', 'live', 'operator', 'claim', 'either', 'bahamas', 'cruise', 'ofâ2000', 'cash', '18only', 'opt', 'txt', 'x', '07786200117']"
554,Wat makes some people dearer is not just de happiness dat u feel when u meet them but de pain u feel when u miss dem!!!,False,,wat makes some people dearer is not just de happiness dat u feel when u meet them but de pain u feel when u miss dem,"['wat', 'makes', 'people', 'dearer', 'de', 'happiness', 'dat', 'u', 'feel', 'u', 'meet', 'de', 'pain', 'u', 'feel', 'u', 'miss', 'dem']"
555,Wat makes some people dearer is not just de happiness dat u feel when u meet them but de pain u feel when u miss dem!!!,False,,wat makes some people dearer is not just de happiness dat u feel when u meet them but de pain u feel when u miss dem,"['wat', 'makes', 'people', 'dearer', 'de', 'happiness', 'dat', 'u', 'feel', 'u', 'meet', 'de', 'pain', 'u', 'feel', 'u', 'miss', 'dem']"
556,Wat makes some people dearer is not just de happiness dat u feel when u meet them but de pain u feel when u miss dem!!!,False,,wat makes some people dearer is not just de happiness dat u feel when u meet them but de pain u feel when u miss dem,"['wat', 'makes', 'people', 'dearer', 'de', 'happiness', 'dat', 'u', 'feel', 'u', 'meet', 'de', 'pain', 'u', 'feel', 'u', 'miss', 'dem']"
557,Nope i waiting in sch 4 daddy...,False,,nope i waiting in sch 4 daddy,"['nope', 'waiting', 'sch', '4', 'daddy']"
558,"They said Ã¼ dun haf passport or smth like dat.. Or Ã¼ juz send to my email account..  
",False,,"they said ã¼ dun haf passport or smth like dat or ã¼ juz send to my email account  
","['said', 'ã¼', 'dun', 'haf', 'passport', 'smth', 'like', 'dat', 'ã¼', 'juz', 'send', 'email', 'account']"
559,Hey u still at the gym?,False,,hey u still at the gym,"['hey', 'u', 'still', 'gym']"
560,Get ready to put on your excellent sub face :),False,,get ready to put on your excellent sub face ,"['get', 'ready', 'put', 'excellent', 'sub', 'face']"
561,"Garbage bags, eggs, jam, bread, hannaford wheat chex",False,,garbage bags eggs jam bread hannaford wheat chex,"['garbage', 'bags', 'eggs', 'jam', 'bread', 'hannaford', 'wheat', 'chex']"
562,Mm that time you dont like fun,False,,mm that time you dont like fun,"['mm', 'time', 'dont', 'like', 'fun']"
563,"K I'm leaving soon, be there a little after 9",False,,k im leaving soon be there a little after 9,"['k', 'im', 'leaving', 'soon', 'little', '9']"
564,My tuition is at 330. Hm we go for the 1120 to 1205 one? Do you mind?,False,,my tuition is at 330 hm we go for the 1120 to 1205 one do you mind,"['tuition', '330', 'hm', 'go', '1120', '1205', 'one', 'mind']"
565, gonna let me know cos comes bak from holiday that day.  is coming. Don't4get2text me  number.,False,, gonna let me know cos comes bak from holiday that day  is coming dont4get2text me  number,"['gon', 'na', 'let', 'know', 'cos', 'comes', 'bak', 'holiday', 'day', 'coming', 'dont4get2text', 'number']"
566,"Yeah, I'll leave in a couple minutes &amp; let you know when I get to mu",False,,yeah ill leave in a couple minutes amp let you know when i get to mu,"['yeah', 'ill', 'leave', 'couple', 'minutes', 'amp', 'let', 'know', 'get', 'mu']"
567,"HEY THERE BABE, HOW U DOIN? WOT U UP 2 2NITE LOVE ANNIE X.",False,,hey there babe how u doin wot u up 2 2nite love annie x,"['hey', 'babe', 'u', 'doin', 'wot', 'u', '2', '2nite', 'love', 'annie', 'x']"
568,Lmao ok I wont be needing u to do my hair anymore.,False,,lmao ok i wont be needing u to do my hair anymore,"['lmao', 'ok', 'wont', 'needing', 'u', 'hair', 'anymore']"
569,CDs 4u: Congratulations ur awarded Â£500 of CD gift vouchers or Â£125 gift guaranteed & Freeentry 2 Â£100 wkly draw xt MUSIC to 87066 TnCs www.ldew.com1win150ppmx3age16,True,,cds 4u congratulations ur awarded â500 of cd gift vouchers or â125 gift guaranteed  freeentry 2 â100 wkly draw xt music to 87066 tncs wwwldewcom1win150ppmx3age16,"['cds', '4u', 'congratulations', 'ur', 'awarded', 'â500', 'cd', 'gift', 'vouchers', 'â125', 'gift', 'guaranteed', 'freeentry', '2', 'â100', 'wkly', 'draw', 'xt', 'music', '87066', 'tncs', 'wwwldewcom1win150ppmx3age16']"
570,I wil be there with in  &lt;#&gt;  minutes. Got any space,False,,i wil be there with in  ltgt  minutes got any space,"['wil', 'ltgt', 'minutes', 'got', 'space']"
571,I wont you with out your permission.,False,,i wont you with out your permission,"['wont', 'permission']"
572,On the road so cant txt,False,,on the road so cant txt,"['road', 'cant', 'txt']"
573,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/meg. CC: 08718720201 HG/Suite342/2lands Row/W1j6HL,True,,ur cashbalance is currently 500 pounds  to maximize ur cashin now send go to 86688 only 150pmeg cc 08718720201 hgsuite3422lands roww1j6hl,"['ur', 'cashbalance', 'currently', '500', 'pounds', 'maximize', 'ur', 'cashin', 'send', 'go', '86688', '150pmeg', 'cc', '08718720201', 'hgsuite3422lands', 'roww1j6hl']"
574,"'Wnevr i wana fal in luv vth my books, My bed fals in luv vth me..!'' . Yen madodu, nav pretsorginta, nammanna pretsovru important alwa....!!:) Gud eveB-).",False,,wnevr i wana fal in luv vth my books my bed fals in luv vth me  yen madodu nav pretsorginta nammanna pretsovru important alwa gud eveb,"['wnevr', 'wana', 'fal', 'luv', 'vth', 'books', 'bed', 'fals', 'luv', 'vth', 'yen', 'madodu', 'nav', 'pretsorginta', 'nammanna', 'pretsovru', 'important', 'alwa', 'gud', 'eveb']"
575,"Aight, we'll head out in a few",False,,aight well head out in a few,"['aight', 'well', 'head']"
576,Nan sonathaya soladha. Why boss?,False,,nan sonathaya soladha why boss,"['nan', 'sonathaya', 'soladha', 'boss']"
577,Hey! Congrats 2u2. id luv 2 but ive had 2 go home!,False,,hey congrats 2u2 id luv 2 but ive had 2 go home,"['hey', 'congrats', '2u2', 'id', 'luv', '2', 'ive', '2', 'go', 'home']"
578,You unbelievable,False,,you unbelievable,['unbelievable']
579,"Well, I have to leave for my class babe ... You never came back to me ... :-( ... Hope you have a nice sleep, my love",False,,well i have to leave for my class babe  you never came back to me    hope you have a nice sleep my love,"['well', 'leave', 'class', 'babe', 'never', 'came', 'back', 'hope', 'nice', 'sleep', 'love']"
580,Try neva mate!!,False,,try neva mate,"['try', 'neva', 'mate']"
581,"Yeah, probably but not sure. Ilol let u know, but personally I wuldnt bother, then again if ur goin to then I mite as well!!",False,,yeah probably but not sure ilol let u know but personally i wuldnt bother then again if ur goin to then i mite as well,"['yeah', 'probably', 'sure', 'ilol', 'let', 'u', 'know', 'personally', 'wuldnt', 'bother', 'ur', 'goin', 'mite', 'well']"
582,Where are you lover ? I need you ...,False,,where are you lover  i need you ,"['lover', 'need']"
583,So when do you wanna gym harri,False,,so when do you wanna gym harri,"['wan', 'na', 'gym', 'harri']"
584,So when do you wanna gym?,False,,so when do you wanna gym,"['wan', 'na', 'gym']"
585,Hiya. How was last night? I've been naughty and bought myself clothes and very little ... Ready for more shopping tho! What kind of time do you wanna meet?,False,,hiya how was last night ive been naughty and bought myself clothes and very little  ready for more shopping tho what kind of time do you wanna meet,"['hiya', 'last', 'night', 'ive', 'naughty', 'bought', 'clothes', 'little', 'ready', 'shopping', 'tho', 'kind', 'time', 'wan', 'na', 'meet']"
586,As one of our registered subscribers u can enter the draw 4 a 100 G.B. gift voucher by replying with ENTER. To unsubscribe text STOP,True,,as one of our registered subscribers u can enter the draw 4 a 100 gb gift voucher by replying with enter to unsubscribe text stop,"['one', 'registered', 'subscribers', 'u', 'enter', 'draw', '4', '100', 'gb', 'gift', 'voucher', 'replying', 'enter', 'unsubscribe', 'text', 'stop']"
587,"Haha better late than ever, any way I could swing by?",False,,haha better late than ever any way i could swing by,"['haha', 'better', 'late', 'ever', 'way', 'could', 'swing']"
588,Is ur lecture over?,False,,is ur lecture over,"['ur', 'lecture']"
589,I'm really not up to it still tonight babe,False,,im really not up to it still tonight babe,"['im', 'really', 'still', 'tonight', 'babe']"
590,They released vday shirts and when u put it on it makes your bottom half instead of those white underwear.,False,,they released vday shirts and when u put it on it makes your bottom half instead of those white underwear,"['released', 'vday', 'shirts', 'u', 'put', 'makes', 'bottom', 'half', 'instead', 'white', 'underwear']"
591,How many times i told in the stage all use to laugh. You not listen aha.,False,,how many times i told in the stage all use to laugh you not listen aha,"['many', 'times', 'told', 'stage', 'use', 'laugh', 'listen', 'aha']"
592,No..few hours before.went to hair cut .,False,,nofew hours beforewent to hair cut ,"['nofew', 'hours', 'beforewent', 'hair', 'cut']"
593,"Hello, yeah i've just got out of the bath and need to do my hair so i'll come up when i'm done, yeah?",False,,hello yeah ive just got out of the bath and need to do my hair so ill come up when im done yeah,"['hello', 'yeah', 'ive', 'got', 'bath', 'need', 'hair', 'ill', 'come', 'im', 'done', 'yeah']"
594,Mm i had my food da from out,False,,mm i had my food da from out,"['mm', 'food', 'da']"
595,"Haha awesome, I've been to 4u a couple times. Who all's coming?",False,,haha awesome ive been to 4u a couple times who alls coming,"['haha', 'awesome', 'ive', '4u', 'couple', 'times', 'alls', 'coming']"
596,Gettin rdy to ship comp,False,,gettin rdy to ship comp,"['gettin', 'rdy', 'ship', 'comp']"
597,Me sef dey laugh you. Meanwhile how's my darling anjie!,False,,me sef dey laugh you meanwhile hows my darling anjie,"['sef', 'dey', 'laugh', 'meanwhile', 'hows', 'darling', 'anjie']"
598,"Ahhhh...just woken up!had a bad dream about u tho,so i dont like u right now :) i didnt know anything about comedy night but i guess im up for it.",False,,ahhhhjust woken uphad a bad dream about u thoso i dont like u right now  i didnt know anything about comedy night but i guess im up for it,"['ahhhhjust', 'woken', 'uphad', 'bad', 'dream', 'u', 'thoso', 'dont', 'like', 'u', 'right', 'didnt', 'know', 'anything', 'comedy', 'night', 'guess', 'im']"
599,Long after I quit. I get on only like 5 minutes a day as it is.,False,,long after i quit i get on only like 5 minutes a day as it is,"['long', 'quit', 'get', 'like', '5', 'minutes', 'day']"
600,Customer place i will call you,False,********,customer place i will call you,"['customer', 'place', 'call']"
601,Customer place i will call you.,False,,customer place i will call you,"['customer', 'place', 'call']"
602,Still in customer place,False,,still in customer place,"['still', 'customer', 'place']"
603,Did u find a sitter for kaitlyn? I was sick and slept all day yesterday.,False,,did u find a sitter for kaitlyn i was sick and slept all day yesterday,"['u', 'find', 'sitter', 'kaitlyn', 'sick', 'slept', 'day', 'yesterday']"
604,Lmao. Take a pic and send it to me.,False,,lmao take a pic and send it to me,"['lmao', 'take', 'pic', 'send']"
605,Am on the uworld site. Am i buying the qbank only or am i buying it with the self assessment also?,False,,am on the uworld site am i buying the qbank only or am i buying it with the self assessment also,"['uworld', 'site', 'buying', 'qbank', 'buying', 'self', 'assessment', 'also']"
606,Nooooooo I'm gonna be bored to death all day. Cable and internet outage.,False,,nooooooo im gonna be bored to death all day cable and internet outage,"['nooooooo', 'im', 'gon', 'na', 'bored', 'death', 'day', 'cable', 'internet', 'outage']"
607,No wonder... Cos i dun rem seeing a silver car... But i thk i saw a black one...,False,,no wonder cos i dun rem seeing a silver car but i thk i saw a black one,"['wonder', 'cos', 'dun', 'rem', 'seeing', 'silver', 'car', 'thk', 'saw', 'black', 'one']"
608,"Yes obviously, but you are the eggs-pert and the potato headâ€¦ Speak soon!",False,,yes obviously but you are the eggspert and the potato headâ speak soon,"['yes', 'obviously', 'eggspert', 'potato', 'headâ', 'speak', 'soon']"
609,"Nice. Wait...should you be texting right now? I'm not gonna pay your ticket, ya know!",False,,nice waitshould you be texting right now im not gonna pay your ticket ya know,"['nice', 'waitshould', 'texting', 'right', 'im', 'gon', 'na', 'pay', 'ticket', 'ya', 'know']"
610,He dint tell anything. He is angry on me that why you told to abi.,False,,he dint tell anything he is angry on me that why you told to abi,"['dint', 'tell', 'anything', 'angry', 'told', 'abi']"
611,:-( sad puppy noise,False,, sad puppy noise,"['sad', 'puppy', 'noise']"
612,Yar lor... How u noe? U used dat route too?,False,,yar lor how u noe u used dat route too,"['yar', 'lor', 'u', 'noe', 'u', 'used', 'dat', 'route']"
613,Omg Joanna is freaking me out. She's looked thru all my friends to find photos of me. And then she's asking about stuff on my MySpace which I haven't even logged on in like a year. :/,False,,omg joanna is freaking me out shes looked thru all my friends to find photos of me and then shes asking about stuff on my myspace which i havent even logged on in like a year ,"['omg', 'joanna', 'freaking', 'shes', 'looked', 'thru', 'friends', 'find', 'photos', 'shes', 'asking', 'stuff', 'myspace', 'havent', 'even', 'logged', 'like', 'year']"
614,"Sure, if I get an acknowledgement from you that it's astoundingly tactless and generally faggy to demand a blood oath fo",False,,sure if i get an acknowledgement from you that its astoundingly tactless and generally faggy to demand a blood oath fo,"['sure', 'get', 'acknowledgement', 'astoundingly', 'tactless', 'generally', 'faggy', 'demand', 'blood', 'oath', 'fo']"
615,Xy trying smth now. U eat already? We havent...,False,,xy trying smth now u eat already we havent,"['xy', 'trying', 'smth', 'u', 'eat', 'already', 'havent']"
616,Ill be at yours in about 3 mins but look out for me,False,,ill be at yours in about 3 mins but look out for me,"['ill', '3', 'mins', 'look']"
617,"Yeah we wouldn't leave for an hour at least, how's 4 sound?",False,,yeah we wouldnt leave for an hour at least hows 4 sound,"['yeah', 'wouldnt', 'leave', 'hour', 'least', 'hows', '4', 'sound']"
618,How come it takes so little time for a child who is afraid of the dark to become a teenager who wants to stay out all night?,True,,how come it takes so little time for a child who is afraid of the dark to become a teenager who wants to stay out all night,"['come', 'takes', 'little', 'time', 'child', 'afraid', 'dark', 'become', 'teenager', 'wants', 'stay', 'night']"
619,K da:)how many page you want?,False,,k dahow many page you want,"['k', 'dahow', 'many', 'page', 'want']"
620,We can make a baby in yo tho,False,,we can make a baby in yo tho,"['make', 'baby', 'yo', 'tho']"
621,"I'll see, but prolly yeah",False,,ill see but prolly yeah,"['ill', 'see', 'prolly', 'yeah']"
622,K k pa Had your lunch aha.,False,,k k pa had your lunch aha,"['k', 'k', 'pa', 'lunch', 'aha']"
623,IM GONNA MISS U SO MUCH,False,,im gonna miss u so much,"['im', 'gon', 'na', 'miss', 'u', 'much']"
624,I surely dont forgot to come:)i will always be in touch in with you:-),False,,i surely dont forgot to comei will always be in touch in with you,"['surely', 'dont', 'forgot', 'comei', 'always', 'touch']"
625,Hiya do u like the hlday pics looked horrible in them so took mo out! Hows the camp Amrca thing? Speak soon Serena:),False,,hiya do u like the hlday pics looked horrible in them so took mo out hows the camp amrca thing speak soon serena,"['hiya', 'u', 'like', 'hlday', 'pics', 'looked', 'horrible', 'took', 'mo', 'hows', 'camp', 'amrca', 'thing', 'speak', 'soon', 'serena']"
626,"Aight yo, dats straight dogg",False,,aight yo dats straight dogg,"['aight', 'yo', 'dats', 'straight', 'dogg']"
627,"Al he does is moan at me if n e thin goes wrong its my fault&al de arguments r my fault&fed up of him of himso y bother? Hav 2go, thanx.xx",False,,al he does is moan at me if n e thin goes wrong its my faultal de arguments r my faultfed up of him of himso y bother hav 2go thanxxx,"['al', 'moan', 'n', 'e', 'thin', 'goes', 'wrong', 'faultal', 'de', 'arguments', 'r', 'faultfed', 'himso', 'bother', 'hav', '2go', 'thanxxx']"
628,And stop being an old man. You get to build snowman snow angels and snowball fights.,False,,and stop being an old man you get to build snowman snow angels and snowball fights,"['stop', 'old', 'man', 'get', 'build', 'snowman', 'snow', 'angels', 'snowball', 'fights']"
629,Babe? You said 2 hours and it's been almost 4 ... Is your internet down ?,False,,babe you said 2 hours and its been almost 4  is your internet down ,"['babe', 'said', '2', 'hours', 'almost', '4', 'internet']"
630,"Oh... Icic... K lor, den meet other day...",False,,oh icic k lor den meet other day,"['oh', 'icic', 'k', 'lor', 'den', 'meet', 'day']"
631,"Ya tel, wats ur problem..",False,,ya tel wats ur problem,"['ya', 'tel', 'wats', 'ur', 'problem']"
632,And smile for me right now as you go and the world will wonder what you are smiling about and think your crazy and keep away from you ... *grins*,False,,and smile for me right now as you go and the world will wonder what you are smiling about and think your crazy and keep away from you  grins,"['smile', 'right', 'go', 'world', 'wonder', 'smiling', 'think', 'crazy', 'keep', 'away', 'grins']"
